Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,205,IntpDistance,205,
Trigger Address,4991,Trigger Address,4991,
Trigger Level,-4.400E-01,Trigger Level,-4.400E-01,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label, ,Label, ,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,Vertical Scale,1.000E+00,
Vertical Position,1.640E+00,Vertical Position,-2.280E+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,1.000E-08,Horizontal Scale,1.000E-08,
Horizontal Position,1.630E-08,Horizontal Position,1.630E-08,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Sinc20,SincET Mode,Sinc20,
Sampling Period,2.000E-09,Sampling Period,2.000E-09,
Horizontal Old Scale,1.000E-08,Horizontal Old Scale,1.000E-08,
Horizontal Old Position,1.630E-08,Horizontal Old Position,1.630E-08,
Firmware,V1.29,Firmware,V1.29,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-9.829700e-06,-1.24e+00,-9.829700e-06,8.00e-02,
-9.827700e-06,8.00e-02,-9.827700e-06,1.08e+00,
-9.825700e-06,1.28e+00,-9.825700e-06,1.40e+00,
-9.823700e-06,7.20e-01,-9.823700e-06,5.20e-01,
-9.821700e-06,-8.40e-01,-9.821700e-06,-2.40e-01,
-9.819700e-06,-1.24e+00,-9.819700e-06,8.00e-02,
-9.817700e-06,8.00e-02,-9.817700e-06,1.08e+00,
-9.815700e-06,1.28e+00,-9.815700e-06,1.40e+00,
-9.813700e-06,7.20e-01,-9.813700e-06,5.20e-01,
-9.811700e-06,-8.40e-01,-9.811700e-06,-2.40e-01,
-9.809700e-06,-1.24e+00,-9.809700e-06,8.00e-02,
-9.807700e-06,8.00e-02,-9.807700e-06,1.08e+00,
-9.805700e-06,1.28e+00,-9.805700e-06,1.40e+00,
-9.803700e-06,7.20e-01,-9.803700e-06,5.20e-01,
-9.801700e-06,-8.80e-01,-9.801700e-06,-2.40e-01,
-9.799700e-06,-1.24e+00,-9.799700e-06,8.00e-02,
-9.797700e-06,8.00e-02,-9.797700e-06,1.08e+00,
-9.795700e-06,1.28e+00,-9.795700e-06,1.40e+00,
-9.793700e-06,7.20e-01,-9.793700e-06,5.20e-01,
-9.791700e-06,-8.40e-01,-9.791700e-06,-2.40e-01,
-9.789700e-06,-1.24e+00,-9.789700e-06,8.00e-02,
-9.787700e-06,8.00e-02,-9.787700e-06,1.08e+00,
-9.785700e-06,1.28e+00,-9.785700e-06,1.40e+00,
-9.783700e-06,7.20e-01,-9.783700e-06,5.20e-01,
-9.781700e-06,-8.80e-01,-9.781700e-06,-2.40e-01,
-9.779700e-06,-1.24e+00,-9.779700e-06,8.00e-02,
-9.777700e-06,8.00e-02,-9.777700e-06,1.08e+00,
-9.775700e-06,1.28e+00,-9.775700e-06,1.40e+00,
-9.773700e-06,7.20e-01,-9.773700e-06,5.20e-01,
-9.771700e-06,-8.40e-01,-9.771700e-06,-2.40e-01,
-9.769700e-06,-1.24e+00,-9.769700e-06,8.00e-02,
-9.767700e-06,8.00e-02,-9.767700e-06,1.08e+00,
-9.765700e-06,1.28e+00,-9.765700e-06,1.40e+00,
-9.763700e-06,7.20e-01,-9.763700e-06,5.20e-01,
-9.761700e-06,-8.40e-01,-9.761700e-06,-2.40e-01,
-9.759700e-06,-1.24e+00,-9.759700e-06,8.00e-02,
-9.757700e-06,8.00e-02,-9.757700e-06,1.08e+00,
-9.755700e-06,1.28e+00,-9.755700e-06,1.40e+00,
-9.753700e-06,7.20e-01,-9.753700e-06,5.20e-01,
-9.751700e-06,-8.40e-01,-9.751700e-06,-2.40e-01,
-9.749700e-06,-1.24e+00,-9.749700e-06,8.00e-02,
-9.747700e-06,8.00e-02,-9.747700e-06,1.08e+00,
-9.745700e-06,1.28e+00,-9.745700e-06,1.40e+00,
-9.743700e-06,7.20e-01,-9.743700e-06,5.20e-01,
-9.741700e-06,-8.80e-01,-9.741700e-06,-2.40e-01,
-9.739700e-06,-1.24e+00,-9.739700e-06,8.00e-02,
-9.737700e-06,8.00e-02,-9.737700e-06,1.08e+00,
-9.735700e-06,1.28e+00,-9.735700e-06,1.40e+00,
-9.733700e-06,7.20e-01,-9.733700e-06,5.20e-01,
-9.731700e-06,-8.80e-01,-9.731700e-06,-2.40e-01,
-9.729700e-06,-1.24e+00,-9.729700e-06,8.00e-02,
-9.727700e-06,8.00e-02,-9.727700e-06,1.08e+00,
-9.725700e-06,1.28e+00,-9.725700e-06,1.40e+00,
-9.723700e-06,7.20e-01,-9.723700e-06,5.20e-01,
-9.721700e-06,-8.80e-01,-9.721700e-06,-2.40e-01,
-9.719700e-06,-1.24e+00,-9.719700e-06,8.00e-02,
-9.717700e-06,8.00e-02,-9.717700e-06,1.08e+00,
-9.715700e-06,1.28e+00,-9.715700e-06,1.40e+00,
-9.713700e-06,7.20e-01,-9.713700e-06,5.20e-01,
-9.711700e-06,-8.80e-01,-9.711700e-06,-2.40e-01,
-9.709700e-06,-1.24e+00,-9.709700e-06,8.00e-02,
-9.707700e-06,8.00e-02,-9.707700e-06,1.08e+00,
-9.705700e-06,1.28e+00,-9.705700e-06,1.40e+00,
-9.703700e-06,7.20e-01,-9.703700e-06,5.20e-01,
-9.701700e-06,-8.80e-01,-9.701700e-06,-2.40e-01,
-9.699700e-06,-1.24e+00,-9.699700e-06,8.00e-02,
-9.697700e-06,8.00e-02,-9.697700e-06,1.08e+00,
-9.695700e-06,1.28e+00,-9.695700e-06,1.40e+00,
-9.693700e-06,7.20e-01,-9.693700e-06,5.20e-01,
-9.691700e-06,-8.80e-01,-9.691700e-06,-2.40e-01,
-9.689700e-06,-1.24e+00,-9.689700e-06,8.00e-02,
-9.687700e-06,8.00e-02,-9.687700e-06,1.08e+00,
-9.685700e-06,1.28e+00,-9.685700e-06,1.40e+00,
-9.683700e-06,7.20e-01,-9.683700e-06,5.20e-01,
-9.681700e-06,-8.80e-01,-9.681700e-06,-2.40e-01,
-9.679700e-06,-1.24e+00,-9.679700e-06,8.00e-02,
-9.677700e-06,8.00e-02,-9.677700e-06,1.08e+00,
-9.675700e-06,1.28e+00,-9.675700e-06,1.40e+00,
-9.673700e-06,7.20e-01,-9.673700e-06,5.20e-01,
-9.671700e-06,-8.80e-01,-9.671700e-06,-2.40e-01,
-9.669700e-06,-1.24e+00,-9.669700e-06,8.00e-02,
-9.667700e-06,8.00e-02,-9.667700e-06,1.08e+00,
-9.665700e-06,1.28e+00,-9.665700e-06,1.40e+00,
-9.663700e-06,7.20e-01,-9.663700e-06,5.20e-01,
-9.661700e-06,-8.80e-01,-9.661700e-06,-2.40e-01,
-9.659700e-06,-1.24e+00,-9.659700e-06,8.00e-02,
-9.657700e-06,8.00e-02,-9.657700e-06,1.08e+00,
-9.655700e-06,1.28e+00,-9.655700e-06,1.40e+00,
-9.653700e-06,7.20e-01,-9.653700e-06,5.20e-01,
-9.651700e-06,-8.80e-01,-9.651700e-06,-2.40e-01,
-9.649700e-06,-1.24e+00,-9.649700e-06,8.00e-02,
-9.647700e-06,8.00e-02,-9.647700e-06,1.08e+00,
-9.645700e-06,1.28e+00,-9.645700e-06,1.40e+00,
-9.643700e-06,7.20e-01,-9.643700e-06,5.20e-01,
-9.641700e-06,-8.80e-01,-9.641700e-06,-2.40e-01,
-9.639700e-06,-1.24e+00,-9.639700e-06,8.00e-02,
-9.637700e-06,8.00e-02,-9.637700e-06,1.08e+00,
-9.635700e-06,1.28e+00,-9.635700e-06,1.40e+00,
-9.633700e-06,6.80e-01,-9.633700e-06,5.20e-01,
-9.631700e-06,-8.80e-01,-9.631700e-06,-2.40e-01,
-9.629700e-06,-1.24e+00,-9.629700e-06,8.00e-02,
-9.627700e-06,8.00e-02,-9.627700e-06,1.08e+00,
-9.625700e-06,1.28e+00,-9.625700e-06,1.40e+00,
-9.623700e-06,7.20e-01,-9.623700e-06,5.20e-01,
-9.621700e-06,-8.80e-01,-9.621700e-06,-2.40e-01,
-9.619700e-06,-1.24e+00,-9.619700e-06,8.00e-02,
-9.617700e-06,8.00e-02,-9.617700e-06,1.08e+00,
-9.615700e-06,1.28e+00,-9.615700e-06,1.40e+00,
-9.613700e-06,7.20e-01,-9.613700e-06,5.20e-01,
-9.611700e-06,-8.80e-01,-9.611700e-06,-2.40e-01,
-9.609700e-06,-1.24e+00,-9.609700e-06,8.00e-02,
-9.607700e-06,8.00e-02,-9.607700e-06,1.08e+00,
-9.605700e-06,1.28e+00,-9.605700e-06,1.40e+00,
-9.603700e-06,7.20e-01,-9.603700e-06,5.20e-01,
-9.601700e-06,-8.80e-01,-9.601700e-06,-2.40e-01,
-9.599700e-06,-1.24e+00,-9.599700e-06,8.00e-02,
-9.597700e-06,8.00e-02,-9.597700e-06,1.08e+00,
-9.595700e-06,1.28e+00,-9.595700e-06,1.40e+00,
-9.593700e-06,7.20e-01,-9.593700e-06,5.20e-01,
-9.591700e-06,-8.80e-01,-9.591700e-06,-2.40e-01,
-9.589700e-06,-1.24e+00,-9.589700e-06,8.00e-02,
-9.587700e-06,8.00e-02,-9.587700e-06,1.08e+00,
-9.585700e-06,1.28e+00,-9.585700e-06,1.40e+00,
-9.583700e-06,7.20e-01,-9.583700e-06,5.20e-01,
-9.581700e-06,-8.80e-01,-9.581700e-06,-2.40e-01,
-9.579700e-06,-1.24e+00,-9.579700e-06,8.00e-02,
-9.577700e-06,8.00e-02,-9.577700e-06,1.08e+00,
-9.575700e-06,1.28e+00,-9.575700e-06,1.40e+00,
-9.573700e-06,7.20e-01,-9.573700e-06,5.20e-01,
-9.571700e-06,-8.80e-01,-9.571700e-06,-2.40e-01,
