"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19"
9.040,0.64,-0.21,-0.72,9.040,0.63,-0.23,-0.08,9.040,0.60,-0.13,0.73,9.040,0.63,-0.18,-0.22,9.040,0.64,0.05,-1.00,9.040,0.63,0.15,-0.51,9.040,0.64,0.03,-0.87,9.040,0.60,0.03,0.98,9.040,0.60,-0.08,0.91,9.040,0.62,0.19,0.09,9.040,0.62,-0.15,-0.02,9.040,0.59,-0.03,1.14,9.040,0.62,-0.15,0.15,9.040,0.64,0.14,-0.79,9.040,0.60,0.12,0.90,9.040,0.61,-0.15,0.45,9.040,0.62,-0.21,0.09,9.040,0.62,0.20,0.20,9.040,0.60,-0.09,0.91
9.080,0.63,-0.23,-0.34,9.080,0.61,-0.20,0.61,9.080,0.60,-0.09,0.92,9.080,0.62,-0.18,0.10,9.080,0.65,0.01,-1.04,9.080,0.64,0.12,-0.72,9.080,0.64,-0.01,-0.97,9.080,0.60,0.06,0.84,9.080,0.60,-0.04,1.01,9.080,0.63,0.19,-0.24,9.080,0.61,-0.15,0.33,9.080,0.59,0.01,1.11,9.080,0.62,-0.14,0.22,9.080,0.65,0.10,-1.01,9.080,0.61,0.15,0.73,9.080,0.61,-0.12,0.68,9.080,0.61,-0.19,0.46,9.080,0.63,0.21,-0.17,9.080,0.60,-0.05,1.14
9.120,0.62,-0.24,0.07,9.120,0.61,-0.16,0.54,9.120,0.60,-0.05,1.06,9.120,0.61,-0.17,0.42,9.120,0.65,-0.03,-1.00,9.120,0.64,0.09,-0.89,9.120,0.64,-0.05,-1.00,9.120,0.60,0.09,0.72,9.120,0.60,0.00,1.04,9.120,0.63,0.17,-0.56,9.120,0.61,-0.12,0.62,9.120,0.60,0.06,1.09,9.120,0.61,-0.13,0.36,9.120,0.65,0.06,-1.14,9.120,0.61,0.18,0.48,9.120,0.60,-0.09,0.86,9.120,0.60,-0.17,0.78,9.120,0.63,0.19,-0.50,9.120,0.59,1.84E-4,1.28
9.160,0.61,-0.23,0.50,9.160,0.61,-0.13,0.26,9.160,0.60,-0.01,1.11,9.160,0.61,-0.14,0.70,9.160,0.64,-0.07,-0.91,9.160,0.65,0.05,-1.00,9.160,0.64,-0.09,-0.88,9.160,0.61,0.12,0.61,9.160,0.60,0.04,1.01,9.160,0.64,0.14,-0.84,9.160,0.60,-0.09,0.81,9.160,0.60,0.10,1.05,9.160,0.61,-0.12,0.66,9.160,0.65,0.01,-1.21,9.160,0.62,0.20,0.06,9.160,0.60,-0.05,0.99,9.160,0.60,-0.13,1.01,9.160,0.64,0.16,-0.78,9.160,0.60,0.06,1.24
9.200,0.60,-0.20,0.89,9.200,0.60,-0.17,0.49,9.200,0.60,0.04,1.08,9.200,0.60,-0.11,0.92,9.200,0.64,-0.11,-0.75,9.200,0.65,0.01,-1.07,9.200,0.64,-0.12,-0.63,9.200,0.61,0.14,0.43,9.200,0.60,0.08,0.91,9.200,0.65,0.10,-1.06,9.200,0.60,-0.06,0.91,9.200,0.60,0.14,0.87,9.200,0.60,-0.08,1.03,9.200,0.65,-0.04,-1.19,9.200,0.63,0.19,-0.43,9.200,0.60,-0.01,1.04,9.200,0.59,-0.08,1.19,9.200,0.65,0.13,-1.05,9.200,0.60,0.11,1.01
9.240,0.59,-0.15,1.21,9.240,0.59,-0.13,1.24,9.240,0.60,0.08,0.97,9.240,0.60,-0.07,1.08,9.240,0.63,-0.13,-0.53,9.240,0.65,-0.03,-1.12,9.240,0.63,-0.14,-0.34,9.240,0.62,0.16,0.12,9.240,0.60,0.11,0.74,9.240,0.65,0.06,-1.20,9.240,0.60,-0.02,0.95,9.240,0.61,0.18,0.55,9.240,0.60,-0.03,1.23,9.240,0.65,-0.09,-1.06,9.240,0.64,0.16,-0.87,9.240,0.60,0.03,1.02,9.240,0.59,-0.03,1.28,9.240,0.65,0.08,-1.29,9.240,0.60,0.14,0.71
9.280,0.59,-0.10,1.43,9.280,0.58,-0.04,1.80,9.280,0.60,0.12,0.79,9.280,0.59,-0.02,1.17,9.280,0.63,-0.15,-0.27,9.280,0.65,-0.08,-1.09,9.280,0.62,-0.15,-0.06,9.280,0.63,0.16,-0.23,9.280,0.61,0.14,0.54,9.280,0.65,0.00,-1.25,9.280,0.60,0.02,0.95,9.280,0.62,0.19,0.17,9.280,0.60,0.02,1.20,9.280,0.64,-0.13,-0.84,9.280,0.64,0.12,-1.15,9.280,0.60,0.07,0.91,9.280,0.59,0.02,1.28,9.280,0.65,0.02,-1.43,9.280,0.61,0.16,0.43
9.320,0.59,-0.04,1.55,9.320,0.59,0.04,1.46,9.320,0.61,0.15,0.58,9.320,0.59,0.03,1.17,9.320,0.62,-0.16,0.01,9.320,0.64,-0.13,-0.90,9.320,0.62,-0.15,0.19,9.320,0.63,0.14,-0.52,9.320,0.62,0.16,0.31,9.320,0.65,-0.05,-1.18,9.320,0.60,0.06,0.89,9.320,0.63,0.19,-0.20,9.320,0.60,0.07,1.05,9.320,0.64,-0.16,-0.57,9.320,0.65,0.07,-1.25,9.320,0.60,0.11,0.73,9.320,0.59,0.07,1.19,9.320,0.65,-0.04,-1.39,9.320,0.62,0.18,0.13
9.360,0.59,0.03,1.58,9.360,0.59,0.10,0.86,9.360,0.61,0.16,0.34,9.360,0.60,0.07,1.06,9.360,0.62,-0.15,0.29,9.360,0.63,-0.16,-0.55,9.360,0.61,-0.13,0.38,9.360,0.64,0.11,-0.74,9.360,0.62,0.17,0.02,9.360,0.65,-0.10,-1.00,9.360,0.60,0.09,0.76,9.360,0.63,0.17,-0.52,9.360,0.60,0.11,0.88,9.360,0.63,-0.18,-0.26,9.360,0.65,0.01,-1.20,9.360,0.61,0.13,0.51,9.360,0.60,0.12,1.04,9.360,0.65,-0.09,-1.21,9.360,0.63,0.17,-0.16
9.400,0.59,0.09,1.52,9.400,0.60,0.08,0.67,9.400,0.62,0.17,0.04,9.400,0.60,0.11,0.88,9.400,0.61,-0.13,0.57,9.400,0.63,-0.17,-0.18,9.400,0.61,-0.11,0.54,9.400,0.64,0.08,-0.91,9.400,0.63,0.16,-0.29,9.400,0.64,-0.13,-0.78,9.400,0.61,0.12,0.57,9.400,0.64,0.15,-0.79,9.400,0.61,0.14,0.70,9.400,0.62,-0.18,0.06,9.400,0.65,-0.03,-1.06,9.400,0.62,0.15,0.26,9.400,0.60,0.16,0.82,9.400,0.65,-0.14,-0.96,9.400,0.63,0.16,-0.41
9.440,0.59,0.15,1.31,9.440,0.60,0.12,0.92,9.440,0.63,0.17,-0.34,9.440,0.61,0.15,0.64,9.440,0.60,-0.10,0.81,9.440,0.62,-0.17,0.11,9.440,0.60,-0.09,0.72,9.440,0.64,0.04,-1.00,9.440,0.64,0.14,-0.57,9.440,0.64,-0.15,-0.56,9.440,0.61,0.14,0.34,9.440,0.64,0.11,-0.96,9.440,0.61,0.16,0.44,9.440,0.61,-0.17,0.37,9.440,0.65,-0.07,-0.94,9.440,0.62,0.16,-0.01,9.440,0.61,0.19,0.52,9.440,0.64,-0.17,-0.68,9.440,0.64,0.14,-0.66
9.480,0.60,0.20,0.94,9.480,0.60,0.18,1.04,9.480,0.64,0.15,-0.72,9.480,0.61,0.17,0.37,9.480,0.60,-0.06,0.95,9.480,0.61,-0.16,0.36,9.480,0.60,-0.06,0.94,9.480,0.65,0.00,-1.03,9.480,0.64,0.11,-0.81,9.480,0.63,-0.17,-0.30,9.480,0.62,0.15,0.09,9.480,0.65,0.07,-1.09,9.480,0.62,0.18,0.07,9.480,0.61,-0.15,0.61,9.480,0.64,-0.11,-0.83,9.480,0.63,0.15,-0.26,9.480,0.62,0.20,0.16,9.480,0.63,-0.19,-0.37,9.480,0.64,0.11,-0.92
9.520,0.61,0.23,0.46,9.520,0.62,0.22,0.48,9.520,0.64,0.11,-0.97,9.520,0.62,0.18,0.06,9.520,0.60,-0.02,0.96,9.520,0.61,-0.14,0.64,9.520,0.60,-0.01,1.10,9.520,0.64,-0.05,-0.98,9.520,0.64,0.08,-1.01,9.520,0.62,-0.18,0.04,9.520,0.63,0.15,-0.17,9.520,0.65,0.02,-1.21,9.520,0.63,0.17,-0.37,9.520,0.60,-0.12,0.80,9.520,0.64,-0.14,-0.67,9.520,0.63,0.13,-0.47,9.520,0.63,0.20,-0.22,9.520,0.62,-0.20,-0.03,9.520,0.65,0.07,-1.16
9.560,0.62,0.24,0.01,9.560,0.62,0.23,-0.27,9.560,0.64,0.06,-1.05,9.560,0.63,0.17,-0.25,9.560,0.60,0.01,0.93,9.560,0.60,-0.11,0.91,9.560,0.60,0.04,1.10,9.560,0.64,-0.08,-0.86,9.560,0.65,0.03,-1.14,9.560,0.61,-0.17,0.39,9.560,0.63,0.13,-0.43,9.560,0.65,-0.03,-1.30,9.560,0.64,0.14,-0.71,9.560,0.60,-0.09,0.99,9.560,0.63,-0.16,-0.43,9.560,0.64,0.11,-0.68,9.560,0.63,0.18,-0.54,9.560,0.61,-0.20,0.31,9.560,0.65,0.01,-1.26
9.600,0.63,0.23,-0.37,9.600,0.63,0.18,-0.76,9.600,0.65,0.02,-1.04,9.600,0.63,0.16,-0.54,9.600,0.60,0.05,0.88,9.600,0.60,-0.07,1.09,9.600,0.60,0.08,0.93,9.600,0.64,-0.12,-0.68,9.600,0.65,-0.02,-1.15,9.600,0.61,-0.15,0.64,9.600,0.64,0.11,-0.67,9.600,0.65,-0.09,-1.23,9.600,0.64,0.11,-0.84,9.600,0.59,-0.04,1.18,9.600,0.63,-0.17,-0.12,9.600,0.64,0.08,-0.89,9.600,0.64,0.15,-0.79,9.600,0.61,-0.18,0.65,9.600,0.65,-0.04,-1.19
9.640,0.64,0.21,-0.73,9.640,0.64,0.15,-0.92,9.640,0.65,-0.02,-1.01,9.640,0.64,0.13,-0.78,9.640,0.60,0.09,0.77,9.640,0.60,-0.02,1.14,9.640,0.61,0.11,0.69,9.640,0.63,-0.14,-0.45,9.640,0.65,-0.06,-1.06,9.640,0.60,-0.12,0.82,9.640,0.64,0.08,-0.83,9.640,0.64,-0.14,-0.98,9.640,0.64,0.07,-0.88,9.640,0.59,0.01,1.26,9.640,0.62,-0.17,0.20,9.640,0.65,0.04,-1.06,9.640,0.65,0.12,-1.01,9.640,0.60,-0.14,0.95,9.640,0.65,-0.08,-1.02
9.680,0.65,0.17,-1.10,9.680,0.64,0.12,-1.02,9.680,0.64,-0.06,-0.97,9.680,0.64,0.09,-0.98,9.680,0.61,0.12,0.58,9.680,0.60,0.03,1.09,9.680,0.61,0.13,0.44,9.680,0.63,-0.15,-0.18,9.680,0.64,-0.10,-0.89,9.680,0.60,-0.08,1.01,9.680,0.64,0.04,-0.95,9.680,0.64,-0.17,-0.62,9.680,0.65,0.04,-0.94,9.680,0.60,0.06,1.18,9.680,0.61,-0.16,0.49,9.680,0.65,-0.01,-1.08,9.680,0.65,0.07,-1.23,9.680,0.59,-0.10,1.18,9.680,0.64,-0.12,-0.80
9.720,0.65,0.12,-1.39,9.720,0.65,0.07,-1.26,9.720,0.64,-0.10,-0.86,9.720,0.65,0.05,-1.11,9.720,0.61,0.13,0.36,9.720,0.60,0.07,1.01,9.720,0.62,0.15,0.21,9.720,0.62,-0.16,0.13,9.720,0.64,-0.14,-0.63,9.720,0.59,-0.04,1.17,9.720,0.64,0.00,-1.02,9.720,0.63,-0.18,-0.25,9.720,0.65,-8.18E-4,-1.02,9.720,0.60,0.11,0.98,9.720,0.60,-0.13,0.74,9.720,0.64,-0.05,-0.98,9.720,0.65,0.02,-1.38,9.720,0.59,-0.05,1.30,9.720,0.64,-0.15,-0.56
9.760,0.66,0.06,-1.53,9.760,0.65,0.02,-1.39,9.760,0.64,-0.13,-0.67,9.760,0.65,1.35E-4,-1.17,9.760,0.62,0.14,0.16,9.760,0.60,0.11,0.90,9.760,0.62,0.15,-0.02,9.760,0.61,-0.15,0.46,9.760,0.63,-0.16,-0.36,9.760,0.59,0.02,1.22,9.760,0.64,-0.04,-1.02,9.760,0.62,-0.19,0.08,9.760,0.65,-0.04,-1.03,9.760,0.60,0.14,0.74,9.760,0.60,-0.10,0.93,9.760,0.64,-0.09,-0.81,9.760,0.65,-0.04,-1.40,9.760,0.59,0.01,1.32,9.760,0.63,-0.17,-0.30
9.800,0.66,-0.01,-1.49,9.800,0.65,-0.05,-1.31,9.800,0.63,-0.15,-0.42,9.800,0.65,-0.05,-1.13,9.800,0.62,0.15,-0.04,9.800,0.61,0.14,0.71,9.800,0.63,0.15,-0.28,9.800,0.61,-0.12,0.71,9.800,0.62,-0.16,-0.10,9.800,0.60,0.06,1.15,9.800,0.64,-0.08,-0.89,9.800,0.61,-0.18,0.39,9.800,0.64,-0.09,-0.91,9.800,0.61,0.17,0.49,9.800,0.60,-0.06,1.07,9.800,0.64,-0.12,-0.64,9.800,0.65,-0.10,-1.29,9.800,0.59,0.06,1.25,9.800,0.62,-0.17,-0.05
9.840,0.66,-0.07,-1.36,9.840,0.65,-0.09,-1.09,9.840,0.62,-0.16,-0.13,9.840,0.64,-0.09,-0.99,9.840,0.63,0.14,-0.32,9.840,0.61,0.17,0.39,9.840,0.63,0.13,-0.54,9.840,0.60,-0.08,0.84,9.840,0.62,-0.17,0.18,9.840,0.60,0.11,0.98,9.840,0.64,-0.12,-0.63,9.840,0.61,-0.16,0.67,9.840,0.64,-0.12,-0.71,9.840,0.62,0.18,0.21,9.840,0.60,-0.01,1.13,9.840,0.63,-0.14,-0.43,9.840,0.64,-0.15,-1.06,9.840,0.60,0.11,1.10,9.840,0.62,-0.17,0.23
9.880,0.65,-0.12,-1.20,9.880,0.64,-0.13,-0.84,9.880,0.62,-0.16,0.18,9.880,0.64,-0.13,-0.76,9.880,0.64,0.12,-0.60,9.880,0.62,0.18,-0.01,9.880,0.64,0.10,-0.78,9.880,0.60,-0.05,0.89,9.880,0.61,-0.15,0.51,9.880,0.61,0.15,0.74,9.880,0.63,-0.14,-0.32,9.880,0.60,-0.12,0.91,9.880,0.63,-0.14,-0.47,9.880,0.63,0.19,-0.15,9.880,0.60,0.04,1.11,9.880,0.63,-0.15,-0.16,9.880,0.64,-0.19,-0.70,9.880,0.60,0.15,0.86,9.880,0.61,-0.16,0.58
9.920,0.65,-0.16,-0.99,9.920,0.64,-0.16,-0.74,9.920,0.61,-0.15,0.48,9.920,0.63,-0.16,-0.48,9.920,0.64,0.09,-0.82,9.920,0.63,0.17,-0.34,9.920,0.64,0.07,-0.96,9.920,0.60,-0.01,0.92,9.920,0.61,-0.12,0.81,9.920,0.61,0.17,0.44,9.920,0.63,-0.14,-0.03,9.920,0.60,-0.08,1.09,9.920,0.63,-0.16,-0.20,9.920,0.63,0.17,-0.56,9.920,0.60,0.08,1.00,9.920,0.62,-0.16,0.13,9.920,0.63,-0.21,-0.25,9.920,0.61,0.18,0.55,9.920,0.60,-0.13,0.95
9.960,0.64,-0.20,-0.70,9.960,0.63,-0.18,-0.61,9.960,0.60,-0.12,0.72,9.960,0.63,-0.17,-0.19,9.960,0.64,0.05,-0.94,9.960,0.63,0.14,-0.56,9.960,0.64,0.02,-1.04,9.960,0.60,0.02,0.94,9.960,0.60,-0.08,0.96,9.960,0.62,0.18,0.10,9.960,0.62,-0.14,0.18,9.960,0.59,-0.03,1.21,9.960,0.62,-0.16,0.07,9.960,0.64,0.14,-0.91,9.960,0.60,0.12,0.82,9.960,0.61,-0.14,0.41,9.960,0.62,-0.21,0.17,9.960,0.62,0.20,0.21,9.960,0.60,-0.08,1.18
10.000,0.63,-0.22,-0.34,10.000,0.62,-0.22,-0.17,10.000,0.60,-0.09,0.89,10.000,0.62,-0.17,0.09,10.000,0.64,0.01,-0.98,10.000,0.64,0.12,-0.72,10.000,0.65,-0.02,-0.97,10.000,0.60,0.07,0.90,10.000,0.60,-0.04,1.01,10.000,0.63,0.18,-0.24,10.000,0.61,-0.12,0.32,10.000,0.59,0.02,1.25,10.000,0.61,-0.15,0.36,10.000,0.64,0.09,-1.09,10.000,0.61,0.15,0.58,10.000,0.61,-0.12,0.64,10.000,0.61,-0.19,0.49,10.000,0.62,0.20,-0.13,10.000,0.60,-0.02,1.21
10.040,0.62,-0.23,0.07,10.040,0.61,-0.22,0.57,10.040,0.60,-0.05,1.02,10.040,0.61,-0.16,0.36,10.040,0.64,-0.03,-0.97,10.040,0.64,0.09,-0.86,10.040,0.64,-0.06,-0.78,10.040,0.60,0.10,0.77,10.040,0.60,0.00,1.01,10.040,0.63,0.16,-0.55,10.040,0.61,-0.11,0.46,10.040,0.60,0.07,1.18,10.040,0.61,-0.13,0.63,10.040,0.65,0.05,-1.14,10.040,0.61,0.17,0.30,10.040,0.60,-0.09,0.82,10.040,0.61,-0.16,0.75,10.040,0.63,0.19,-0.46,10.040,0.60,0.02,1.10
10.080,0.61,-0.22,0.46,10.080,0.60,-0.16,1.18,10.080,0.60,-0.01,1.08,10.080,0.61,-0.14,0.64,10.080,0.64,-0.07,-0.89,10.080,0.65,0.05,-0.98,10.080,0.64,-0.09,-0.62,10.080,0.61,0.13,0.58,10.080,0.60,0.04,0.97,10.080,0.64,0.13,-0.81,10.080,0.61,-0.09,0.64,10.080,0.60,0.11,0.99,10.080,0.60,-0.10,0.88,10.080,0.65,0.00,-1.13,10.080,0.62,0.17,-0.02,10.080,0.60,-0.05,0.95,10.080,0.60,-0.13,0.98,10.080,0.64,0.16,-0.78,10.080,0.60,0.06,0.97
10.120,0.60,-0.19,0.83,10.120,0.60,-0.10,1.03,10.120,0.60,0.04,1.05,10.120,0.60,-0.11,0.89,10.120,0.64,-0.10,-0.75,10.120,0.65,0.01,-1.08,10.120,0.64,-0.10,-0.52,10.120,0.62,0.15,0.31,10.120,0.60,0.08,0.86,10.120,0.64,0.10,-1.01,10.120,0.60,-0.06,0.81,10.120,0.60,0.15,0.70,10.120,0.60,-0.06,1.08,10.120,0.65,-0.04,-1.10,10.120,0.63,0.16,-0.33,10.120,0.60,-0.01,1.01,10.120,0.59,-0.08,1.17,10.120,0.65,0.12,-1.03,10.120,0.60,0.10,0.82
10.160,0.59,-0.15,1.14,10.160,0.60,-0.05,0.64,10.160,0.60,0.08,0.93,10.160,0.60,-0.07,1.07,10.160,0.63,-0.13,-0.54,10.160,0.65,-0.04,-1.15,10.160,0.63,-0.13,-0.44,10.160,0.62,0.16,-0.02,10.160,0.61,0.11,0.69,10.160,0.65,0.05,-1.14,10.160,0.60,-0.02,0.91,10.160,0.61,0.17,0.34,10.160,0.60,-0.01,1.19,10.160,0.65,-0.09,-1.00,10.160,0.64,0.14,-0.55,10.160,0.60,0.03,1.00,10.160,0.59,-0.03,1.30,10.160,0.65,0.07,-1.17,10.160,0.61,0.13,0.65
10.200,0.59,-0.10,1.35,10.200,0.59,-0.08,0.75,10.200,0.60,0.11,0.74,10.200,0.60,-0.02,1.14,10.200,0.63,-0.15,-0.28,10.200,0.64,-0.09,-1.03,10.200,0.63,-0.14,-0.24,10.200,0.63,0.15,-0.34,10.200,0.61,0.13,0.47,10.200,0.65,0.00,-1.19,10.200,0.60,0.02,0.92,10.200,0.62,0.18,-0.01,10.200,0.60,0.04,1.12,10.200,0.64,-0.12,-0.82,10.200,0.64,0.12,-0.67,10.200,0.60,0.07,0.90,10.200,0.59,0.02,1.33,10.200,0.65,0.03,-1.24,10.200,0.61,0.15,0.44
10.240,0.59,-0.04,1.47,10.240,0.59,-0.03,1.38,10.240,0.61,0.14,0.51,10.240,0.60,0.03,1.12,10.240,0.62,-0.15,0.00,10.240,0.64,-0.13,-0.71,10.240,0.62,-0.15,0.07,10.240,0.63,0.12,-0.55,10.240,0.62,0.15,0.21,10.240,0.65,-0.05,-1.13,10.240,0.60,0.05,0.84,10.240,0.63,0.17,-0.27,10.240,0.60,0.08,0.88,10.240,0.63,-0.15,-0.57,10.240,0.64,0.09,-0.79,10.240,0.60,0.10,0.72,10.240,0.59,0.08,1.25,10.240,0.65,-0.02,-1.30,10.240,0.62,0.17,0.17
10.280,0.59,0.02,1.50,10.280,0.58,0.06,1.80,10.280,0.61,0.16,0.26,10.280,0.60,0.07,1.03,10.280,0.62,-0.14,0.26,10.280,0.63,-0.14,-0.37,10.280,0.61,-0.14,0.40,10.280,0.64,0.10,-0.67,10.280,0.62,0.15,-0.06,10.280,0.64,-0.09,-1.01,10.280,0.61,0.09,0.72,10.280,0.63,0.15,-0.46,10.280,0.61,0.11,0.61,10.280,0.63,-0.17,-0.28,10.280,0.65,0.06,-1.02,10.280,0.61,0.13,0.49,10.280,0.60,0.13,1.06,10.280,0.65,-0.08,-1.30,10.280,0.63,0.17,-0.16
10.320,0.59,0.08,1.46,10.320,0.60,0.14,1.29,10.320,0.62,0.16,0.02,10.320,0.60,0.11,0.85,10.320,0.61,-0.13,0.51,10.320,0.63,-0.15,-0.23,10.320,0.61,-0.12,0.66,10.320,0.64,0.07,-0.78,10.320,0.63,0.14,-0.30,10.320,0.64,-0.13,-0.81,10.320,0.61,0.11,0.53,10.320,0.64,0.13,-0.66,10.320,0.61,0.13,0.39,10.320,0.62,-0.18,0.04,10.320,0.65,0.01,-1.30,10.320,0.62,0.14,0.24,10.320,0.60,0.16,0.74,10.320,0.65,-0.13,-1.12,10.320,0.63,0.15,-0.48
10.360,0.59,0.14,1.32,10.360,0.60,0.18,0.52,10.360,0.63,0.16,-0.21,10.360,0.61,0.14,0.62,10.360,0.61,-0.10,0.73,10.360,0.62,-0.16,-0.15,10.360,0.60,-0.08,0.85,10.360,0.64,0.04,-0.90,10.360,0.63,0.13,-0.49,10.360,0.63,-0.16,-0.53,10.360,0.61,0.13,0.32,10.360,0.64,0.10,-0.90,10.360,0.62,0.14,0.17,10.360,0.61,-0.17,0.35,10.360,0.65,-0.05,-1.38,10.360,0.62,0.15,-0.03,10.360,0.61,0.19,0.35,10.360,0.64,-0.18,-0.75,10.360,0.64,0.13,-0.75
10.400,0.60,0.19,1.00,10.400,0.61,0.15,0.12,10.400,0.63,0.14,-0.47,10.400,0.61,0.16,0.35,10.400,0.60,-0.07,0.88,10.400,0.61,-0.17,0.18,10.400,0.60,-0.05,0.96,10.400,0.64,0.00,-0.99,10.400,0.64,0.10,-0.67,10.400,0.63,-0.17,-0.20,10.400,0.62,0.14,0.08,10.400,0.65,0.06,-1.10,10.400,0.62,0.15,-0.08,10.400,0.61,-0.15,0.63,10.400,0.65,-0.11,-1.16,10.400,0.63,0.14,-0.28,10.400,0.62,0.19,-0.02,10.400,0.63,-0.19,-0.33,10.400,0.64,0.09,-0.91
10.440,0.61,0.23,0.53,10.440,0.62,0.17,0.17,10.440,0.64,0.12,-0.76,10.440,0.62,0.17,0.06,10.440,0.60,-0.03,0.96,10.440,0.61,-0.16,0.68,10.440,0.60,0.00,0.97,10.440,0.64,-0.04,-0.96,10.440,0.64,0.07,-0.86,10.440,0.62,-0.17,0.13,10.440,0.63,0.14,-0.17,10.440,0.65,0.01,-1.17,10.440,0.63,0.13,-0.25,10.440,0.60,-0.12,0.88,10.440,0.64,-0.15,-0.74,10.440,0.63,0.13,-0.51,10.440,0.63,0.18,-0.31,10.440,0.62,-0.20,0.04,10.440,0.65,0.05,-0.97
10.480,0.62,0.24,0.04,10.480,0.62,0.18,0.18,10.480,0.64,0.08,-1.04,10.480,0.63,0.17,-0.23,10.480,0.60,0.01,0.98,10.480,0.60,-0.11,1.02,10.480,0.60,0.04,0.86,10.480,0.64,-0.08,-0.84,10.480,0.65,0.04,-1.00,10.480,0.61,-0.16,0.42,10.480,0.63,0.12,-0.41,10.480,0.65,-0.04,-1.08,10.480,0.63,0.12,-0.30,10.480,0.60,-0.08,1.07,10.480,0.63,-0.17,-0.33,10.480,0.64,0.10,-0.71,10.480,0.63,0.16,-0.52,10.480,0.61,-0.19,0.35,10.480,0.65,0.01,-0.98
10.520,0.63,0.23,-0.36,10.520,0.63,0.19,-0.22,10.520,0.65,0.03,-1.21,10.520,0.63,0.15,-0.52,10.520,0.60,0.05,0.95,10.520,0.60,-0.06,1.07,10.520,0.60,0.07,0.71,10.520,0.64,-0.11,-0.66,10.520,0.65,-0.01,-0.97,10.520,0.61,-0.14,0.67,10.520,0.64,0.10,-0.61,10.520,0.65,-0.08,-0.95,10.520,0.64,0.11,-0.43,10.520,0.60,-0.03,1.19,10.520,0.63,-0.17,-0.02,10.520,0.64,0.07,-0.86,10.520,0.64,0.14,-0.75,10.520,0.61,-0.17,0.65,10.520,0.65,-0.03,-1.01
10.560,0.64,0.21,-0.68,10.560,0.64,0.17,-0.73,10.560,0.65,-0.02,-1.22,10.560,0.64,0.12,-0.77,10.560,0.60,0.09,0.84,10.560,0.60,-0.02,1.02,10.560,0.61,0.09,0.62,10.560,0.63,-0.14,-0.44,10.560,0.64,-0.05,-0.84,10.560,0.60,-0.11,0.91,10.560,0.64,0.07,-0.74,10.560,0.64,-0.11,-0.85,10.560,0.64,0.10,-0.76,10.560,0.60,0.02,1.17,10.560,0.62,-0.17,0.24,10.560,0.64,0.03,-0.93,10.560,0.65,0.11,-0.99,10.560,0.60,-0.14,0.91,10.560,0.65,-0.07,-1.03
10.600,0.65,0.17,-1.02,10.600,0.64,0.12,-1.13,10.600,0.65,-0.07,-1.08,10.600,0.64,0.09,-0.96,10.600,0.61,0.12,0.63,10.600,0.60,0.01,1.12,10.600,0.61,0.11,0.57,10.600,0.63,-0.15,-0.18,10.600,0.64,-0.07,-0.77,10.600,0.60,-0.07,1.10,10.600,0.64,0.04,-0.83,10.600,0.64,-0.15,-0.72,10.600,0.65,0.05,-1.13,10.600,0.60,0.07,0.98,10.600,0.61,-0.16,0.49,10.600,0.64,-0.01,-0.92,10.600,0.65,0.06,-1.14,10.600,0.60,-0.10,1.12,10.600,0.64,-0.11,-0.92
