"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12","Time (s) Run #13","Position (m) Run #13","Velocity (m/s) Run #13","Acceleration (m/s²) Run #13","Time (s) Run #14","Position (m) Run #14","Velocity (m/s) Run #14","Acceleration (m/s²) Run #14","Time (s) Run #15","Position (m) Run #15","Velocity (m/s) Run #15","Acceleration (m/s²) Run #15","Time (s) Run #16","Position (m) Run #16","Velocity (m/s) Run #16","Acceleration (m/s²) Run #16","Time (s) Run #17","Position (m) Run #17","Velocity (m/s) Run #17","Acceleration (m/s²) Run #17","Time (s) Run #18","Position (m) Run #18","Velocity (m/s) Run #18","Acceleration (m/s²) Run #18","Time (s) Run #19","Position (m) Run #19","Velocity (m/s) Run #19","Acceleration (m/s²) Run #19"
0.400,0.65,0.37,-1.09,0.400,0.65,0.28,-1.11,0.400,0.66,0.02,-1.69,0.400,0.64,0.23,-0.89,0.400,0.59,0.11,1.34,0.400,0.59,-0.09,1.45,0.400,0.59,0.13,1.21,0.400,0.64,-0.21,-0.87,0.400,0.66,-0.06,-1.60,0.400,0.59,-0.23,1.33,0.400,0.65,0.16,-1.29,0.400,0.66,-0.16,-1.50,0.400,0.65,0.16,-1.35,0.400,0.58,-0.01,1.99,0.400,0.62,-0.28,0.00,0.400,0.65,0.08,-1.42,0.400,0.66,0.22,-1.57,0.400,0.59,-0.26,1.31,0.400,0.66,-0.07,-1.73
0.440,0.66,0.31,-1.69,0.440,0.66,0.22,-1.54,0.440,0.66,-0.05,-1.64,0.440,0.65,0.19,-1.28,0.440,0.60,0.16,1.11,0.440,0.59,-0.03,1.56,0.440,0.60,0.17,0.88,0.440,0.63,-0.23,-0.50,0.440,0.65,-0.12,-1.40,0.440,0.58,-0.17,1.68,0.440,0.65,0.10,-1.48,0.440,0.65,-0.23,-1.23,0.440,0.66,0.10,-1.61,0.440,0.58,0.07,1.92,0.440,0.61,-0.27,0.53,0.440,0.66,0.02,-1.47,0.440,0.67,0.15,-1.93,0.440,0.58,-0.20,1.69,0.440,0.66,-0.14,-1.52
0.480,0.67,0.23,-2.02,0.480,0.66,0.15,-1.87,0.480,0.66,-0.11,-1.49,0.480,0.66,0.13,-1.58,0.480,0.60,0.20,0.78,0.480,0.58,0.04,1.63,0.480,0.61,0.20,0.59,0.480,0.63,-0.24,-0.15,0.480,0.65,-0.17,-1.11,0.480,0.58,-0.09,1.91,0.480,0.66,0.04,-1.52,0.480,0.64,-0.27,-0.81,0.480,0.66,0.03,-1.75,0.480,0.58,0.15,1.73,0.480,0.60,-0.24,0.99,0.480,0.66,-0.04,-1.45,0.480,0.67,0.06,-2.15,0.480,0.58,-0.13,1.96,0.480,0.65,-0.20,-1.13
0.520,0.68,0.14,-2.18,0.520,0.67,0.07,-2.07,0.520,0.65,-0.17,-1.25,0.520,0.66,0.06,-1.75,0.520,0.61,0.23,0.38,0.520,0.59,0.11,1.52,0.520,0.62,0.22,0.28,0.520,0.62,-0.24,0.28,0.520,0.64,-0.21,-0.76,0.520,0.58,-0.01,2.00,0.520,0.66,-0.02,-1.47,0.520,0.63,-0.29,-0.29,0.520,0.66,-0.04,-1.71,0.520,0.59,0.21,1.43,0.520,0.59,-0.19,1.33,0.520,0.65,-0.10,-1.36,0.520,0.67,-0.03,-2.17,0.520,0.57,-0.04,2.11,0.520,0.64,-0.24,-0.71
0.560,0.68,0.06,-2.41,0.560,0.67,-0.02,-2.12,0.560,0.64,-0.22,-0.92,0.560,0.66,-0.02,-1.76,0.560,0.62,0.23,-0.04,0.560,0.59,0.17,1.23,0.560,0.62,0.22,-0.11,0.560,0.60,-0.22,0.78,0.560,0.63,-0.23,-0.37,0.560,0.58,0.07,1.93,0.560,0.65,-0.08,-1.38,0.560,0.62,-0.29,0.25,0.560,0.66,-0.11,-1.49,0.560,0.60,0.26,1.02,0.560,0.58,-0.13,1.59,0.560,0.65,-0.15,-1.15,0.560,0.67,-0.12,-2.01,0.560,0.57,0.05,2.10,0.560,0.63,-0.25,-0.30
0.600,0.68,-0.04,-2.75,0.600,0.67,-0.11,-1.98,0.600,0.63,-0.25,-0.50,0.600,0.66,-0.09,-1.65,0.600,0.63,0.22,-0.45,0.600,0.60,0.21,0.85,0.600,0.63,0.21,-0.52,0.600,0.60,-0.18,1.19,0.600,0.62,-0.24,0.06,0.600,0.58,0.15,1.73,0.600,0.65,-0.13,-1.21,0.600,0.61,-0.27,0.76,0.600,0.65,-0.17,-1.17,0.600,0.61,0.30,0.46,0.600,0.58,-0.06,1.76,0.600,0.64,-0.19,-0.84,0.600,0.66,-0.19,-1.69,0.600,0.58,0.13,1.93,0.600,0.62,-0.26,0.12
0.640,0.68,-0.17,-2.86,0.640,0.66,-0.18,-1.67,0.640,0.62,-0.26,-0.02,0.640,0.65,-0.15,-1.44,0.640,0.64,0.20,-0.80,0.640,0.61,0.23,0.47,0.640,0.64,0.18,-0.84,0.640,0.59,-0.12,1.42,0.640,0.61,-0.23,0.51,0.640,0.59,0.21,1.41,0.640,0.64,-0.18,-0.94,0.640,0.59,-0.23,1.21,0.640,0.64,-0.20,-0.85,0.640,0.62,0.31,-0.17,0.640,0.58,0.02,1.83,0.640,0.63,-0.22,-0.47,0.640,0.65,-0.25,-1.29,0.640,0.58,0.21,1.62,0.640,0.61,-0.25,0.56
0.680,0.67,-0.29,-2.31,0.680,0.65,-0.24,-1.26,0.680,0.61,-0.25,0.45,0.680,0.65,-0.21,-1.11,0.680,0.65,0.16,-1.09,0.680,0.62,0.25,0.06,0.680,0.65,0.14,-1.08,0.680,0.59,-0.06,1.52,0.680,0.60,-0.20,0.94,0.680,0.60,0.26,1.02,0.680,0.64,-0.21,-0.59,0.680,0.59,-0.17,1.57,0.680,0.64,-0.23,-0.52,0.680,0.64,0.28,-0.72,0.680,0.58,0.09,1.73,0.680,0.62,-0.23,-0.07,0.680,0.64,-0.30,-0.82,0.680,0.59,0.26,1.19,0.680,0.60,-0.21,1.02
0.720,0.66,-0.37,-1.38,0.720,0.64,-0.29,-0.94,0.720,0.60,-0.22,0.86,0.720,0.64,-0.25,-0.66,0.720,0.65,0.11,-1.31,0.720,0.63,0.24,-0.40,0.720,0.65,0.09,-1.28,0.720,0.59,8.82E-4,1.54,0.720,0.59,-0.15,1.29,0.720,0.61,0.30,0.56,0.720,0.63,-0.23,-0.19,0.720,0.58,-0.10,1.82,0.720,0.63,-0.25,-0.15,0.720,0.65,0.24,-1.08,0.720,0.59,0.16,1.47,0.720,0.61,-0.22,0.33,0.720,0.63,-0.32,-0.28,0.720,0.61,0.30,0.67,0.720,0.59,-0.16,1.41
0.760,0.64,-0.39,-0.49,0.760,0.63,-0.31,-0.57,0.760,0.59,-0.18,1.21,0.760,0.63,-0.26,-0.16,0.760,0.66,0.05,-1.43,0.760,0.64,0.21,-0.85,0.760,0.66,0.04,-1.46,0.760,0.59,0.06,1.49,0.760,0.59,-0.09,1.50,0.760,0.62,0.31,0.05,0.760,0.62,-0.23,0.23,0.760,0.58,-0.02,1.92,0.760,0.62,-0.25,0.30,0.760,0.66,0.19,-1.29,0.760,0.60,0.21,1.09,0.760,0.61,-0.20,0.70,0.760,0.62,-0.32,0.31,0.760,0.62,0.32,0.11,0.760,0.59,-0.10,1.66
